#,original_cpv,Original_cpv_text,title,short_desc_eng,long_desc_eng
173,85311300,Welfare services for children and young people,Children’s Residential Placements — Consortia Commissioning,"Local authorities across the Southern Region of England have come together to commission children’s residential care using a framework agreement, in order to fulfil their statutory duty to provide high-quality residential care to looked after children within their authority. Commissioning as a consortium of authorities allows us to meaningfully engage with the market whilst enabling us to achieve efficiencies in the purchasing and development of services and advocating better care on behalf of children and young people. Continued in VI.3) additional information.",The purchasers do not have a breakdown of the spend for each lot and therefore are unable to give an estimated value.
174,85300000,Social work and related services,65+ (Physical Disability),65+ (physical disability),65+ (physical disability)
175,66510000,Insurance services,Places for People Insurance Services,Places for people insurance services.,"‘On 7.6.2019 Procurement Hub issued a contract notice to the Official Journal of the European Union (‘OJEU’) reference number 2019/S 111-272594.This tender is being sent to suppliers who applied for various works streams insurance services DPS submission, who indicated in their DPS submission that they can deliver property services and are considered to have the necessary financial and economic standing and technical and professional ability to deliver the services/supplies required under the DPS.’"
176,66511000,Life insurance services,Places for People Group Life Assurance,Places for people group life assurance.,"‘On 7.6.2019 Procurement Hub issued a contract notice to the Official Journal of the European Union (‘OJEU’) reference number 2019/S 111-272594. This tender is being sent to suppliers who applied for group life assurance insurance services DPS submission, who indicated in their DPS submission that they can deliver property services and are considered to have the necessary financial and economic standing and technical and professional ability to deliver the services/supplies required under the DPS.’"
177,60000000,Transport services (excl. Waste transport),Passenger Transport for 8 Passengers or Less with Passenger Assistance,Passenger transport for 8 passengers or less with passenger assistance.,Passenger transport for 8 passengers or less with passenger assistance.
178,85000000,Health and social work services,Invitation to Tender for the Provision of CAHMS Assessment Service for Leeds Community Healthcare NHS Trust,Invitation to tender for the provision of CAHMS assessment service for Leeds Community Healthcare NHS Trust. Leeds Community Healthcare’s (LCH) Specialist Community CAMHS wish to work in partnership with local provider/s to help them deliver timely multi-disciplinary autistic spectrum disorder (ASD) and attention deficit hyperactivity disorder (ADHD) diagnostic assessments for children and young people aged 5-17 living in Leeds.,Leeds Community Healthcare’s (LCH) specialist community CAMHS wish to work in partnership with local provider/s to help them deliver timely multi-disciplinary autistic spectrum disorder (ASD) and attention deficit hyperactivity disorder (ADHD) diagnostic assessments for children and young people aged 5-17 living in Leeds.
179,85300000,Social work and related services,65+ (Physical Disability),65+ (physical disability).,65+ (physical disability).
180,85000000,Health and social work services,Early Intervention Service — Low and Medium Support,"This provision is for outreach and low intensity 1:1 support elements of the all age early intervention support offer. The purpose of this is to improve households’ physical, social and emotional well-being, so that they do not need ongoing support from crisis and specialist services. The Council is in the process of carrying out a service review under the auspices of the thriving communities programme with a view to realigning the services to deliver the objectives of the programme.","The all age early intervention support offer:This opportunity relates to the provision of the outreach and low intensity 1:1 support elements of the all age early intervention support offer. The purpose of this offer is to improve households’ physical, social and emotional well-being, so that they do not need ongoing support from crisis and specialist services."
181,77300000,Horticultural services,Grounds Maintenance Runcorn 2020,"Onward are seeking to award a contract for grounds maintenance services to onward properties on the following estates in Runcorn: Castlefields (including Hallwood Park), Windmill Hill and Murdishaw, for 9 months grounds maintenance services to include but not limited to, grass cutting, shrub pruning, chemical treatment and litter picking.","Onward are seeking to award a contract for grounds maintenance services to onward properties on the following estates in Runcorn: Castlefields (including Hallwood Park), Windmill Hill and Murdishaw, for 9 months grounds maintenance services to include but not limited to, grass cutting, shrub pruning, chemical treatment and litter picking."
182,85312000,Social work services without accommodation,Adults' Personal Home Support 65+,Adults' personal home support 65+.,Adults' personal home support 65+.
183,45112700,Landscaping work,Clapham Common Events Site Reconditioning 2019,The London Borough of Lambeth require a suitably qualified contractor to undertake the reconditioning of the Clapham Common Event Site including suitable drainage and resetting of the concrete events trackpad.,The London Borough of Lambeth require a suitably qualified contractor to undertake the reconditioning of the Clapham Common Event Site including suitable drainage and resetting of the concrete events trackpad.
184,60000000,Transport services (excl. Waste transport),Multiple Routes to Thomas Mills High School,Home to school transport multiple routes to Thomas Mills High School.,FR566 multiple routes to Thomas Mills High School.
185,75250000,Fire-brigade and rescue services,CFRS Fire Behaviour Training Facility,"The replacement of the Fire Behaviour Training Unit (‘Hot Fire Villa’) which is an integral part of the Cornwall Fire and Rescue Service’s training provision for operational firefighters. This contract will include the dismantling, removal and responsible disposal of the old villa, plus fabricating off-site, delivery and construction on-site of the new villa plus accessories. We anticipate both of these taking place in early 2010.","The replacement of the Fire Behaviour Training Unit (‘Hot Fire Villa’) which is an integral part of the Cornwall Fire and Rescue Service’s training provision for operational firefighters. This contract will include the dismantling, removal and responsible disposal of the old villa, plus fabricating off-site, delivery and construction on-site of the new villa plus accessories. We anticipate both of these taking place in early 2010."
186,60112000,Public road transport services,Scottish Borders Council — Core Supported Bus Network,Scottish Borders Council will enter a strategic partnership arrangement for a number of key routes which mainly form the core supported bus service network across the area.,"It is the objective of the Council to ensure that the core bus network in the Scottish Borders remains in place and provides economic growth and social inclusion. The operator and the Council shall work in partnership to ensure the services are economically sustainable, relevant to the communities they serve and be geared for growth.The core network is services 51/52, 60, 67 and 68. The arrangement will also include service E13."
187,55524000,School catering services,Tennyson Road Primary School,To provide a profressional catering service provision to Tennyson Road Primary School. The school is a 3 form entry school split on two sites and is part of The Tennyson Learning Community Trust. The school os seeking a catering partner who will genuinely care about the food it serves and the pupil experience.,This tender is for the food service provision for pupils and all stakeholders of the school. TUPE will apply to this contract; some team members are within the local government pension scheme. Please do call if further information is required - +44 78717187813.
188,85322000,Community action programme,Social Action Partnership Service,"There are many examples of excellent social action taking place in communities across Cheshire East. As such,the Council and NHS Commissioners wish to coordinate and stimulate this further, by providing assistance through a ‘Social Action Partnership Service’. This service will provide a range of support to the Voluntary Community Faith and Social Enterprise (VCFSE) Sector to help them to undertake social action. This will enable the sector to develop and flourish locally, particularly through the building of local connections and partnerships between organisations and sectors.The service will be delivered as a long-term partnership with the local authority founded on a series of core values including mutual trust, collaboration and innovation. This relationship will help to guide how the Council works with the VCFSE in the future, as well as its approach to transforming the wider health and social care system.","Social action is about people coming together to help improve the life outcomes of local people, by identifying and solving problems or issues that are important to them. Some kinds of social action happen naturally. But the extent to which social action is joined up, effective and thriving may depend on how much encouragement, support and leadership it has in a local area.There are many examples of excellent social action taking place in communities across Cheshire East. As such, the Council and NHS Commissioners wish to coordinate and stimulate this further, by providing assistance through a ‘Social Action Partnership Service’. This service will provide a range of support to the Voluntary Community Faith and Social Enterprise (VCFSE) Sector to help them to undertake social action. This will enable the sector to develop and flourish locally, particularly through the building of local connections and partnerships between organisations and sectors.The service will be delivered as a long-term partnership with the local authority founded on a series of core values including mutual trust, collaboration and innovation. This relationship will help to guide how the Council works with the VCFSE in the future, as well as its approach to transforming the wider health and social care system.The commissioning of this service affirms the Council’s commitment to VCFSE organisations by recognising the vital role they play in supporting local people around local strengths and needs. This ‘thread’ runs through a number of other Council initiatives such as the social action charter and early help framework.This contract will be for 3 years with the option of 2 extensions of 1 year. The maximum price for this contract will be 150 000 GBP per annum.The service vision is to develop a strong local social impact culture through effective social action, which is underpinned by a thriving voluntary, community, faith and social enterprise sector.The overall aim of the service is to enhance social action in Cheshire East leading to greater and more effective social impact."
189,71200000,Architectural and related services,"New Embassy Beijing, China — New Ambassadors Residence, Archtectural Services","Concept design for New Ambassador's Residence British Embassy Beijing, China.","The FCO are seeking architects with the right combination of exceptional design expertise and a demonstrable collaborative approach to working alongside the FCO's selected delivery team. Experience of previous work for the design and delivery of similar buildings in Beijing, China or the Far East generally may be an advantage. The Circa 1 100 square metre Ambassador's Residence will in effect be a mini hotel. It has entertainment spaces, reception spaces, formal dining rooms and access to the grounds. These need to be backed up by commercial kitchen facilities and back of house functions. In addition the Residence has formal guest accommodation — for visiting Ministers and VIP's and then it also has separate private accommodation for the ambassador and his/her family. The building should be a showcase for British Design and products, however it should also be easily maintainable in Beijing. Thought needs to be given to its function as a representational building but also to respect Chinese sensitivities such as Feng Shui. The FCO do not want to have a building which does not respect those 'Rules'. The building also needs to be seismically resilient."
190,72316000,Data analysis services,For the Provision of Manual and Automated Testing Services,"Manual and automated testing services for browser based applications, interfaces and mobile applications.","There are a number of core IT systems that support the Royal Mint's businesses: the Royal Mint were looking to for a test partner who could facilitate, as much as possible, automated and scripted/manual testing relating to the Royal Mint's Digital platforms, ERP and CRM systems.The Royal Mint were looking for a testing partner to enable the Royal Mint to move from a resource and time heavy, manual based testing approach to an automated and consistent approach and then both maintain and execute all testing in a fully managed service."
191,66110000,Banking services,Payment Acceptance,"Crown Commercial Service as the authority have established a pan government agreement for the provision of payment acceptance service to be utilised by Central Government Departments and all other UK Public Sector Bodies as identified at VI.3 of this notice.The framework agreement comprises of the following lots:Lot 1: Face to Face and CNP Card Acquiring, Gateway and APM Services;Lot 2: CNP Only Card Acquiring, Gateway and APM Services;Lot 3: CNP and Face to Face Acquiring Services;Lot 4: CNP and Face to Face Gateway and APM Services;Lot 5: Payment Initiation Service Providers;Lot 7: Payment Consulting Services.Bidders had the opportunity to bid for all or any combination of the lots.The full specification is set out in framework schedule 1 (Specification), in the invitation to tender documents attached to the BravoSolution eSourcing suite.","A multi-supplier lot across all UK public sector bodies to provide services including as a minimum:— the provision of merchant card acquiring services, to facilitate the receipt, transfer and accounting of incoming domestic and foreign payment streams, from the payer, from traditional, new and existing payment cards, to buyers to facilitate face to face and CNP Transactions,— the provision of merchant card acquiring equipment, to facilitate the receipt, transfer and accounting of incoming domestic and foreign payment streams, from the payer, from traditional, new and existing payment cards, to buyers to facilitate cardholder present and cardholder not present transactions,— the provision of payment gateway services, to facilitate the receipt, transfer and accounting of incoming domestic and foreign payment streams, including eCommerce online payments, from the payer, from payment cards and from Alternative Payment Methods (APMs), to Buyers, and— the provision of fraud and risk management core services, standard online and mobile card security services and transactional payment risk management."
192,66110000,Banking services,Payment Acceptance,"Crown Commercial Service as the authority have established a pan government agreement for the provision of payment acceptance service to be utilised by Central Government Departments and all other UK Public Sector Bodies as identified at VI.3 of this notice.The framework agreement comprises of the following lots:Lot 1: Face to Face and CNP Card Acquiring, Gateway and APM Services;Lot 2: CNP Only Card Acquiring, Gateway and APM Services;Lot 3: CNP and Face to Face Acquiring Services;Lot 4: CNP and Face to Face Gateway and APM Services;Lot 5: Payment Initiation Service Providers;Lot 7: Payment Consulting Services.Bidders had the opportunity to bid for all or any combination of the lots.The full specification is set out in framework schedule 1 (Specification), in the invitation to tender documents attached to the BravoSolution eSourcing suite.","An eCommerce multi-supplier lot across all UK public sector bodies to provide services including as a minimum:— the provision of merchant card acquiring services, to facilitate the receipt, transfer and accounting of incoming domestic and foreign payment streams, from the payer, from traditional, new and existing payment cards, to buyers to facilitate CNP Transactions,— the provision of payment gateway services, to facilitate the receipt, transfer and accounting of incoming domestic and foreign payment streams, for eCommerce online payments, from the payer, from payment cards and from Alternative Payment Methods (APMs), to Buyers, and— the provision of fraud and risk management core services, standard online and mobile card security services and transactional payment risk management."
193,66110000,Banking services,Payment Acceptance,"Crown Commercial Service as the authority have established a pan government agreement for the provision of payment acceptance service to be utilised by Central Government Departments and all other UK Public Sector Bodies as identified at VI.3 of this notice.The framework agreement comprises of the following lots:Lot 1: Face to Face and CNP Card Acquiring, Gateway and APM Services;Lot 2: CNP Only Card Acquiring, Gateway and APM Services;Lot 3: CNP and Face to Face Acquiring Services;Lot 4: CNP and Face to Face Gateway and APM Services;Lot 5: Payment Initiation Service Providers;Lot 7: Payment Consulting Services.Bidders had the opportunity to bid for all or any combination of the lots.The full specification is set out in framework schedule 1 (Specification), in the invitation to tender documents attached to the BravoSolution eSourcing suite.","A multi-supplier lot across all UK public sector bodies to provide services including as a minimum:— the provision of merchant card acquiring services, to facilitate the receipt, transfer and accounting of incoming domestic and foreign payment streams, from the payer, from traditional, new and existing payment cards, to buyers to facilitate face to face and CNP Transactions, and— the provision of fraud and risk management core services, standard online and mobile card security services and transactional payment risk management."
194,66110000,Banking services,Payment Acceptance,"Crown Commercial Service as the authority have established a pan government agreement for the provision of payment acceptance service to be utilised by Central Government Departments and all other UK Public Sector Bodies as identified at VI.3 of this notice.The framework agreement comprises of the following lots:Lot 1: Face to Face and CNP Card Acquiring, Gateway and APM Services;Lot 2: CNP Only Card Acquiring, Gateway and APM Services;Lot 3: CNP and Face to Face Acquiring Services;Lot 4: CNP and Face to Face Gateway and APM Services;Lot 5: Payment Initiation Service Providers;Lot 7: Payment Consulting Services.Bidders had the opportunity to bid for all or any combination of the lots.The full specification is set out in framework schedule 1 (Specification), in the invitation to tender documents attached to the BravoSolution eSourcing suite.","A multi-supplier lot across all UK public sector bodies to provide services including as a minmum:— the provision of merchant card acquiring equipment, to facilitate the receipt, transfer and accounting of incoming domestic and foreign payment streams, from the payer, from traditional, new and existing payment cards, to buyers to facilitate cardholder present and cardholder not present transactions,— the provision of payment gateway services, to facilitate the receipt, transfer and accounting of incoming domestic and foreign payment streams, including eCommerce online payments, from the payer, from payment cards and from Alternative Payment Methods (APMs), to Buyers, and— the provision of fraud and risk management core services, standard online and mobile card security services and transactional payment risk management."
195,66110000,Banking services,Payment Acceptance,"Crown Commercial Service as the authority have established a pan government agreement for the provision of payment acceptance service to be utilised by Central Government Departments and all other UK Public Sector Bodies as identified at VI.3 of this notice.The framework agreement comprises of the following lots:Lot 1: Face to Face and CNP Card Acquiring, Gateway and APM Services;Lot 2: CNP Only Card Acquiring, Gateway and APM Services;Lot 3: CNP and Face to Face Acquiring Services;Lot 4: CNP and Face to Face Gateway and APM Services;Lot 5: Payment Initiation Service Providers;Lot 7: Payment Consulting Services.Bidders had the opportunity to bid for all or any combination of the lots.The full specification is set out in framework schedule 1 (Specification), in the invitation to tender documents attached to the BravoSolution eSourcing suite.",A multi-supplier lot across all UK public sector bodies to provide services including:— the provision of a mechanism to enable payers to connect to their own bank account or bank accounts (operated by Account Servicing Payment Service Providers – ASPSPs) to make eCommerce payments to buyers via websites or other digital platforms and other channels.
196,66110000,Banking services,Payment Acceptance,"Crown Commercial Service as the authority have established a pan government agreement for the provision of payment acceptance service to be utilised by Central Government Departments and all other UK Public Sector Bodies as identified at VI.3 of this notice.The framework agreement comprises of the following lots:Lot 1: Face to Face and CNP Card Acquiring, Gateway and APM Services;Lot 2: CNP Only Card Acquiring, Gateway and APM Services;Lot 3: CNP and Face to Face Acquiring Services;Lot 4: CNP and Face to Face Gateway and APM Services;Lot 5: Payment Initiation Service Providers;Lot 7: Payment Consulting Services.Bidders had the opportunity to bid for all or any combination of the lots.The full specification is set out in framework schedule 1 (Specification), in the invitation to tender documents attached to the BravoSolution eSourcing suite.","A multi-supplier lot across all UK public sector bodies to provide services including as a minimum:— specialist payment acceptance and payment issuance consultancy services throughout the United Kingdom to contracting authorities to help Central Government (CG) and the Wider Public Sector (WPS) customers define their payment requirements, their scope and intended outcomes. Making it easier to scope their requirements for further competitions in a clear and transparent way."
197,85300000,Social work and related services,65+ (Physical Disability),65+ (physical disability).,65+ (physical disability).
198,48000000,Software package and information systems,Planning and Regulatory Service Case Management System,The City currently uses 2 separate solutions to support the services of its departments for markets and consumer protection and for the built environment.The City would like to rationalise these systems into a single solution.The City would also like for this solution to be hosted and would like your responses to outline your ability to achieve this.,Please note that this is an award notice and the opportunity is now closed. See Section V) (Award of Contract).
199,79620000,Supply services of personnel including temporary staff,HDC 213 Temporary Staff Agency,Harborough District Council intends to commission a service for the provision of temporary staff. The services required are as detailed in the procurement documents.,"Harborough District Council occasionally secures the services of staff on a temporary basis across many teams within the organisation: these include administrative, project officer, finance, management, manual and customer services roles as well as specialist professional roles.The Council recruits temporary staff through a variety of channels including specialist agencies where appropriate.The Council intends to award a service contract to an employment agency, primarily for the recruitment of non-specialist roles as and when required."
200,85320000,Social services,Northamptonshire County Council Target Operating Model NASS,"Northamptonshire Adult Social Services (NASS) is seeking a strategic partner to work alongside to design and implement a programme of transformational change over the next 18 months. The partner will be required to assist in refining NASS's processes, improving customer experience and delivering sustainable services going forward.","Given the increased demand for adult social care in Northamptonshire, the ageing population of the county and the financial challenges of both the council and the wider health and social care system, there is a need to review the operating systems, processes and practice within adult social care. The aim of this piece of work is to be ‘fit for the future’ and ensure that how we deliver services and manage future demand under a new ‘target operating model’ is aligned to our strategic direction and approach, improves customer experience and operates as effectively and efficiently as possible.NASS is undertaking an open procurement process to select a strategic partner to work alongside to design and implement a programme of transformational change over the next 18 months. The partner will be required to assist in refining NASS's processes, improving customer experience and delivering sustainable services going forward.This contract is for 18 months, with an option to extend for 6 months, making 24 months in total and could be in the region of 4 000 000 GBP to 7 000 000 GBP."
201,72000000,"IT services: consulting, software development, Internet and support",Bus Contracts Management System,"Merseytravel would like to invite vendors to quote for the supply, installation and maintenance of the corporate bus contracts management system. Currently, the contract management process for the supported bus network is managed via several internal Merseytravel systems. The current system covers the import of bus operator revenue returns data for non-commercial bus services and the calculation of operator payments. The system enables the bus contracts team to:— check all operator ticket sales data,— ensure that all journeys on contracted services have been run,— calculate revenue deductions for missing journeys,— produce reports to assist with revenue payments to bus operators and to manage and analyse contract performance. The data is also used by other departments as the basis for bus network reviews e.g. where people get on the bus, passenger numbers on journeys etc. A new bus contract management system (BCMS) will deliver a more efficient and robust contract management system for the supported bus network and will meet the requirements of the Merseytravel Bus Strategy. It will deliver full contract management from registration to payment, performance measures, KPI’s, mileage data and all aspects associated with efficient bus service management and performance.","Merseytravel would like to invite vendors to quote for the supply, installation and maintenance of the corporate bus contracts management system. Currently, the contract management process for the supported bus network is managed via several internal Merseytravel systems. The current system covers the import of bus operator revenue returns data for non-commercial bus services and the calculation of operator payments. The system enables the bus contracts team to:— check all operator ticket sales data,— ensure that all journeys on contracted services have been run,— calculate revenue deductions for missing journeys,— produce reports to assist with revenue payments to bus operators and to manage and analyse contract performance. The data is also used by other departments as the basis for bus network reviews e.g. where people get on the bus, passenger numbers on journeys etc. A new bus contract management system (BCMS) will deliver a more efficient and robust contract management system for the supported bus network and will meet the requirements of the Merseytravel Bus Strategy. It will deliver full contract management from registration to payment, performance measures, KPI’s, mileage data and all aspects associated with efficient bus service management and performance."
202,55524000,School catering services,Ramridge Primary School,Food service provision for 500 pupils and staff.,This tender is for the food service provision for pupils and all stakeholders within the school. TUPE will apply to this contract; some team members are within the local government pension scheme. Please do call if further information is required +44 78717187813.
203,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
204,33690000,Various medicinal products,Medicamente,"",""
205,33690000,Various medicinal products,Medicamente,"",""
206,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
207,33690000,Various medicinal products,Medicamente,"",""
208,33690000,Various medicinal products,Medicamente,"",""
209,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
210,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
211,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
212,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
213,33690000,Various medicinal products,Medicamente,"",""
214,33690000,Various medicinal products,Medicamente,"",""
215,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
216,45313100,Lift installation work,Krovininis-keleivinis liftas Onkologijos ligonineje,"",""
217,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
218,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
219,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
220,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
221,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
222,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
223,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
224,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
225,33140000,Medical consumables,Materiale sanitare ?i de laborator,"",""
226,39518000,Hospital linen,"Suministro de ropa de cama, higiene y vestimenta del personal de la empresa pública Gestió de Serveis Sanitaris","",""
227,39518000,Hospital linen,"Suministro de ropa de cama, higiene y vestimenta del personal de la empresa pública Gestió de Serveis Sanitaris","",""
228,39518000,Hospital linen,"Suministro de ropa de cama, higiene y vestimenta del personal de la empresa pública Gestió de Serveis Sanitaris","",""
229,80530000,Vocational training services,Préparation opérationnelle à l'emploi collective (POEC) Normandie,"",""
230,33694000,Diagnostic agents,RT-PCR kitovi za detekciju SARS-COV-2,"",""
231,30200000,Computer equipment and supplies,"Sprzedaz i dostawa fabrycznie nowych, nie uzywanych, czterech komputerów przenosnych i urzadzenia wielofunkcyjnego dla projektu WCSM","",""
232,80530000,Vocational training services,Préparation opérationnelle à l'emploi collective (POEC) Normandie,"",""
233,80530000,Vocational training services,Préparation opérationnelle à l'emploi collective (POEC) Normandie,"",""
234,80530000,Vocational training services,Préparation opérationnelle à l'emploi collective (POEC) Normandie,"",""
235,85312000,Social work services without accommodation,Ayuda a domicilio,"",""
236,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
237,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
238,64200000,Telecommunications services,HLAS_ISDN30 PL_90026,"",""
239,80530000,Vocational training services,Préparation opérationnelle à l'emploi collective (POEC) Normandie,"",""
240,80530000,Vocational training services,Préparation opérationnelle à l'emploi collective (POEC) Normandie,"",""
241,55110000,Hotel accommodation services,Gestion d'un centre d'hébergement d'urgence,"",""
242,33696500,Laboratory reagents,Suministro de reactivos para la realización de pruebas urgentes PCR de detección del virus SARS_COV-2 en tiempo real,"",""
243,85312000,Social work services without accommodation,Older People — Whitchurch and Tongwynlais,Older people — Whitchurch and Tongwynlais.,Older people — Whitchurch and Tongwynlais.
244,80530000,Vocational training services,Préparation opérationnelle à l'emploi collective (POEC) Normandie,"",""
245,45000000,Construction work,"????????? ?? ?????????? ?????? ?? ??????? ?????? ?? ????? ?????? ??? „????? ???—?????? ???????“ — ???????? ??????, ??????? ?? ? ????????????? ?????? ?? ?? „??? ??????“","",""
246,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
247,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
248,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
249,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
250,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
251,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
252,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
253,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
254,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
255,38000000,"Laboratory, optical and precision equipments (excl. glasses)","????????, ?????????? ? ??????? ? ???????????? ?? ??????? ? ?????????????? ??????????? ?????????? ?? ?????? BG05M2OP001-1.002-0012.","",""
256,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
257,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
258,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
259,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
260,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
261,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
262,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
263,60130000,Special-purpose road passenger-transport services,"????????? ?????? ?? ??????? ?? ????????? ????? ?? ??????????, ?????????? ? ??????????????? ??????????? ????? ?? ??????? ?? ?????? ???????","",""
264,85310000,Social work services,Onderhandse gunning opdracht gemengd wonen,"",""
265,34121400,Low-floor buses,2020.1-RVG,"",""
266,34121400,Low-floor buses,2020.1-RVG,"",""
267,33600000,Pharmaceutical products,"Dostawa Melphalanum, Chlorambucilum, Busulfanum, Thioguaninum – IHIT/WR/75/2020","",""
268,77211100,Timber harvesting services,"Servicii de exploatare forestiera, negociere – 7 DSSV","",""
269,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
270,90500000,Refuse and waste related services,"Servicio de recogida de residuos biosanitarios, clase III, en el Hospital Universitario La Paz, Hospital Carlos III y Hospital de Cantoblanco. EMER 88.1/2020","",""
271,45261410,Roof insulation work,Anbau Mensa und Aufzugsanierung Grundschule Isoldestraße (Dachabdichtungsarbeiten),"",""
272,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
273,33140000,Medical consumables,"Röntgenmaterial, förbrukning","",""
274,55524000,School catering services,Bushmead Primary School,Food service provision for 650 pupil and staff.,"This tender is for the food service provision for the pupils and all stakeholders within the school.TUPE will apply to this contract, some team members are within the local government pension scheme.Please do call if further information is required +44 7817187813."
275,55524000,School catering services,The Adeyfield Academy,"This ITT is to provide a professional food service provision to the Adeyfield Academ. The Adeyfield Academy is a fully inclusive mixed academy and is part of the ATLAS Multi Academy Trust. The Academy is seeking a catering partner who will genuinely care and take pride in the food served to their pupils, staff and visitors.The creation of a vibrant dining experience will underpin the success of the partnership by:(a) using fresh, quality products;(b) delivering exceptional service; and(c) doing the right thing for the stakeholders of the Academy.Investment will be needed to update the current facilities.","This tender is for the food service provision for students and all stakeholders of the Academy. TUPE will apply to this contract, it is probable that some team members are within the local government pension scheme. Please do call if further information is required — +44 7817187813."
